blk2010ge,blk2020ge,weight
550019501003038,550019501004025,1.000000000000
550019501003039,550019501004026,1.000000000000
550019501003040,550019501004029,0.539760342200
550019501003040,550019501004036,0.460239657800
550019501003040,550019501004040,0.000000000000
550019501003040,550019501004041,0.000000000000
550019501003041,550019501004037,1.000000000000
550019501003042,550019501004029,1.000000000000
550019501003043,550019501004036,1.000000000000
550019501003044,550019501004028,1.000000000000
550019501003045,550019501004028,1.000000000000
550019501003046,550019501003003,1.000000000000
550019501003047,550019501003004,1.000000000000
550019501003048,550019501003007,1.000000000000
550019501003049,550019501003004,1.000000000000
550019501003050,550019501003004,1.000000000000
550019501003051,550019501003006,1.000000000000
550019501003052,550019501003005,1.000000000000
550019501003053,550019501003004,1.000000000000
550019501003054,550019501004034,1.000000000000
550019501003055,550019501004035,1.000000000000
550019501003056,550019501003007,1.000000000000
550019501003057,550019501003007,1.000000000000
550019501003058,550019501004035,1.000000000000
550019501003059,550019501004033,1.000000000000
550019501003060,550019501004031,1.000000000000
550019501003061,550019501004031,1.000000000000
550019501003062,550019501004049,1.000000000000
550019501003063,550019501004032,1.000000000000
550019501003064,550019501003009,1.000000000000
550019501003064,550019501003022,0.000000000000
550019501003065,550019501003010,1.000000000000
550019501003066,550019501003009,1.000000000000
550019501003067,550019501003010,1.000000000000
550019501003068,550019501003012,1.000000000000
550019501003069,550019501003008,1.000000000000
550019501003070,550019501003007,1.000000000000
550019501003071,550019501003008,1.000000000000
550019501003072,550019501003011,1.000000000000
550019501003073,550019501003021,1.000000000000
550019501003074,550019501003014,1.000000000000
550019501003075,550019501003013,1.000000000000
550019501003076,550019501003012,1.000000000000
550019501003077,550019501003012,1.000000000000
550019501003078,550019501003012,1.000000000000
550019501003079,550019501003015,1.000000000000
550019501003080,550019501003015,1.000000000000
550019501003081,550019501003019,1.000000000000
550019501003082,550019501003019,1.000000000000
550019501003083,550019501003020,1.000000000000
550019501003084,550019501003025,1.000000000000
550019501003085,550019501003023,1.000000000000
550019501003086,550019501003023,1.000000000000
550019501003087,550019501003024,1.000000000000
550019501003088,550019501003018,1.000000000000
550019501003089,550019501003016,1.000000000000
550019501003090,550019501003017,1.000000000000
550019501003091,550019501004044,1.000000000000
550019501003092,550019501004043,1.000000000000
550019501003093,550019501004042,1.000000000000
550019501003094,550019501004030,0.302599910700
550019501003094,550019501004038,0.000000000000
550019501003094,550019501004039,0.697400089300
550019501003095,550019501004030,1.000000000000
550019501003096,550019501004021,1.000000000000
550019501003097,550019501004048,1.000000000000
550019501003098,550019501004047,1.000000000000
550019501003099,550019501004045,1.000000000000
550019501003100,550019501004046,1.000000000000
550019501003101,550019501003007,1.000000000000
550019501003102,550019501004011,1.000000000000
550019501003103,550019501004030,1.000000000000
550019502011000,550019502012000,1.000000000000
550019502011001,550019502012002,1.000000000000
550019502011002,550019502012001,1.000000000000
550019502011003,550019502012003,1.000000000000
550019502011004,550019502012004,1.000000000000
550019502011005,550019502012005,1.000000000000
550019502011006,550019502012006,1.000000000000
550019502011007,550019502012007,1.000000000000
550019502011008,550019502012007,1.000000000000
550019502011009,550019502012007,1.000000000000
550019502011010,550019502012007,1.000000000000
550019502011011,550019502012007,1.000000000000
550019502011012,550019502012008,1.000000000000
550019502011013,550019502012009,1.000000000000
550019502011014,550019502012008,0.008229105500
550019502011014,550019502012010,0.991770894500
550019502011015,550019502012009,1.000000000000
550019502011016,550019502012011,1.000000000000
550019502011017,550019502012012,1.000000000000
550019502011018,550019502012013,1.000000000000
550019502011019,550019502011023,1.000000000000
550019502011020,550019502011025,1.000000000000
550019502011021,550019502011026,1.000000000000
550019502011022,550019502011024,1.000000000000
550019502011023,550019502011027,1.000000000000
550019502011024,550019502011019,0.000000000000
550019502011024,550019502011023,1.000000000000
550019502011025,550019502011019,1.000000000000
550019502011026,550019502011019,1.000000000000
550019502011027,550019502011018,1.000000000000
550019502011027,550019502011019,0.000000000000
550019502011028,550019502011018,1.000000000000
550019502011029,550019502011000,1.000000000000
550019502011030,550019502011001,1.000000000000
550019502011031,550019502011002,1.000000000000
550019502011032,550019502011002,1.000000000000
550019502011033,550019502011003,1.000000000000
550019502011034,550019502011004,1.000000000000
550019502011035,550019502011005,1.000000000000
550019502011036,550019502011006,1.000000000000
550019502011037,550019502011006,1.000000000000
550019502011038,550019502011012,1.000000000000
550019502011039,550019502011006,1.000000000000
550019502011040,550019502011006,0.248516579400
550019502011040,550019502011007,0.751483420600
550019502011040,550019502011010,0.000000000000
550019502011040,550571003022000,0.000000000000
550019502011040,550571003022026,0.000000000000
550019502011041,550019502011007,1.000000000000
550019502011042,550019502011007,1.000000000000
550019502011043,550019502011007,0.898390342100
550019502011043,550019502011008,0.101609657900
550019502011044,550019502011010,1.000000000000
550019502011045,550019502011010,1.000000000000
550019502011046,550019502011007,1.000000000000
550019502011047,550019502011007,1.000000000000
550019502011048,550019502011010,1.000000000000
550019502011049,550019502011010,1.000000000000
550019502011050,550019502011007,1.000000000000
550019502011051,550019502011016,1.000000000000
550019502011052,550019502011016,1.000000000000
